concept,explaination,result
seras,"seras is a flow tools that monitor eda tools running, it is controled by parameters, for example: MACRO_VERT_SPACING = 0",
override.params,"file that user specify the setting inside EDA tools,such as density limit, optimization stragegy",
override.controls,"file that user specify the setting out of the eda tool in cshell, such as tool version/cpu core/memory usage",
TB,"TileBuider, old version of flow, replaced by seras",
params,"params is used to control EDA flow in seras, including EDA tool setting, technology node, input or output file, for example: TUNE_ADD_HALO = 1, the params is consist of capitalization word and underline, its value is set through ""="".",
agent,AI that can execute script according given natrual language,
sdc format,known,
tile,known,
pin,known,
net,known,
shape,known,
instance,known,
GPIO,known,
cell,known,
cpp," Contact Poly Pitch, any cell or instance location must be multiples of cpp, for example cpp = 0.057um in TSMC N6.",
fix setup timing issue in placement,fix setup timing issue in placement: create bound for critical module that has timing violation;create timing group for the violation path;set clock uncertainty.,
reroute,known,
create bound,known,
group path,group path is used to set a set of violation paths during placement which will be optimized by EDA tool.,
set clock uncertainty,known,
fix base DRC,"the base DRC is caused by memory or macro edge not align or x coordinate different less then 3um,  to fix this , need make the memory or macro edge at same x coordinate or move then away larger than 3um",
pointer,"In AMD, it means the dir that contains the specific tile's released data,  for example, def, verilog, RC files.",
local run,"it means a certain dir that for a tile run the PNR flow, it contain the EDA command for each step, def, verilog, RC files, params for seras, it's structure  is main/pd/tiles/$tile_*_TileBuilder*_$date_GUI",
run dir,"it means a certain dir that for a tile run the PNR flow, it contain the EDA command for each step, def, verilog, RC files, params for seras, it's structure  is main/pd/tiles/$tile_*_TileBuilder*_$date_GUI",
df_tcdx*_t,"tile with data fabric logic, it's main clock is FCLK",
df_mall_t,"tile with the Memory Attached Last Level,it's main clock is FCLK",
vnc_*_t,"tile with video decoder or encoder, its main clock is UVD_DCLK.",
umc_*_t,"tile with memory controller, its main clock is UMC_MCLK",
vdci_*_t,tile with level shifter that connect two power domain.,
usb*_t,tile with USB controller or PHY.,
smu_clkc*t,"tile with clock PLL macro and related logic, its main clock is SOCCLK",
nbio_pcie_*_t,"tile with North Bridge Input/Output. AMD sub-system design hierarchy that assembles a collection of NBIO function blocks to build a high performance PCIe compatible I/O interconnect for SOC, its main clock is NBIO_LCLK",
oss_sdma_t,"tile with SDMAs,Host Data Path (HDP), Interrupt Handler (IH),Lite-SDMA (LSDMA), its main clock is SOCCLK",
mmhub_*_t,"tile with Multimedia Hub, its main clock is SOCCLK",
athub_rpb_t,"tile with Address Translation HUB,its main clock is SOCCLK",
cdci_*_t,tile with cdc buffer that connect two clock domain.,
io_*_t,tile with GPIO macro.,
dfx_*_t,tile with dft logic.,
dxio_*_t,"tile with Distributed IO Crossbar comprised of a collection of components that layer on top of a set of shared and/or dedicated SERDES IO, its main clock is NBIO_LCLK.",
smu_mp*_t,"tile with different SMU microprocessors integrated into the design. MP0 aka PSP and later, MPASP,its main clock is SOCCLK.",
dcn_*_t,"tiles provides two sub-systems, Display Controller Engine Subsystem and DPCS Subsystem (DPCSSYS). Its main clock is DCN_DISPCLK.",
DRC,"For the DRC number, the  lower, the better, it means less design rule violation.",
target,"Target is a certain step in AMD PNR flow, e.g. FxPlace is target running placement, FxCts is a target name running clock tree synthesis, FxRoute is a target name running routing",
FxBoxStreamOut,a target name in which  fusion compiler generate GDS/OASIS of tile with only port and boundary.,
FxCts,target in which fusion compiler perform CTS ,
FxFpFinishPower,a target name in which finish power stripe,
FxFpGenInternalPowerGrid,a target name in which fusion compiler perform power stripe generation.,
FxFpInsertPhysicalCells,a target name in which fusion compiler perform physical cell(tap cell/endcap cell) insertion.,
FxFpPlaceMacros,a target name in which fusion compiler perform the Macros/Memories placement,
FxFpStreamOut,a target name in which fusion compiler generate GDS/OASIS of tile with Macros/Memories/physical cells and power stripes.,
FxFpSwireStreamOut,a target name in which fusion compiler generate GDS/OASIS of tile with power stripes.,
Fx*,Target name  running fusion compiler,
FxOptCts,a target name  fusion compiler optimize setup and hold violation after CTS.,
FxOptRoute,a target name  fusion compiler optimize setup and hold violation after route.,
FxPix*,Target name  running fusion compiler to dump design's report such as utilization/density map/congestion/vt ratio/instance count,
FxPlace,a target name in which fusion compiler perform standard cell placement.,
FxPostFloorPlan,a target name in which fusion compiler perform IO buffer placement.,
FxReRoute,a target name in which fusion compiler perform routing after OptRoute when  buffer insertion/cell sizing.,
FxRoute,a target name in which fusion compiler perform signal routing.,
FxShortChain,a target name in which running fusion compiler,
FxStreamOut,a target name in which fusion compiler generate GDS/OASIS of tile with all cells/nets/ports.,
FxSwireStreamOut,a target name in which fusion compiler generate GDS/OASIS of tile with power stripes.,
FxXtrct*,Target name in which fusion compiler extract the RC.,
Tk*DRC,Target name  running scan tools,
FxFpInsertPowerGates,a target name  fusion compiler perform power switch insertion.,
FxIncrProutePlace,a target name  fusion compiler perform power stripes routing for the cluster changed after placement,
FxIncrProuteCts,a target name  fusion compiler perform power stripes routing for the cluster changed after CTS,
FxIncrProuteOptCts,a target name  fusion compiler perform power stripes routing for the cluster changed after OptCts,
BuildTechDir,a target name  create all the library that PNR need,
Cb*,Target name  running calibre for LVS/DRC check,
FindFloating,a target name that check floating input or output,
GenerateAllCommands,a target name in which generate all the command for each target.,
GetNetlist,a target name in which copy the tile netlist from release dir to local dir.,
GetSdc,a target name in which copy the tile SDC from release dir to local dir.,
Ib*Merge,Target name that run Ib,
Oa*Db,Target that run OA tools,
PlGenScPyViaChecksFunc*Viachecks,a target name,
PtAdjustSdcIOFunc*,Target name that use primetime to adjust sdc,
